,date,location,count,plate,sample,colour,image,coef,before event,after event,event,date_sample,label,medium,doy,week,d,year
143,2016-08-02,VNX,4.0,1,VNX1,sample,,100,False,True,False,"('2016-08-02', 'VNX1')",Other,EasyGel,215,31,2016-08-02,2016
144,2016-07-05,MRD,0.0,2,MRD2,big_blue,,100,False,False,True,"('2016-07-05', 'MRD2')",Bioindicator,EasyGel,187,27,2016-07-05,2016
145,2016-07-12,MRD,17.0,2,MRD2,big_blue,,100,False,False,True,"('2016-07-12', 'MRD2')",Bioindicator,EasyGel,194,28,2016-07-12,2016
146,2016-07-19,MRD,16.0,2,MRD2,big_blue,,100,False,True,False,"('2016-07-19', 'MRD2')",Bioindicator,EasyGel,201,29,2016-07-19,2016
147,2016-06-21,MRD,0.0,2,MRD2,big_blue,,100,True,False,False,"('2016-06-21', 'MRD2')",Bioindicator,EasyGel,173,25,2016-06-21,2016
148,2016-06-28,MRD,0.0,2,MRD2,big_blue,,100,True,False,False,"('2016-06-28', 'MRD2')",Bioindicator,EasyGel,180,26,2016-06-28,2016
149,2016-07-26,MRD,0.0,2,MRD2,big_blue,,100,False,True,False,"('2016-07-26', 'MRD2')",Bioindicator,EasyGel,208,30,2016-07-26,2016
150,2016-08-02,MRD,1.0,2,MRD2,big_blue,,100,False,True,False,"('2016-08-02', 'MRD2')",Bioindicator,EasyGel,215,31,2016-08-02,2016
151,2016-08-09,MRD,0.0,2,MRD2,big_blue,,100,False,True,False,"('2016-08-09', 'MRD2')",Bioindicator,EasyGel,222,32,2016-08-09,2016
152,2016-07-05,SVT,0.0,2,SVT2,big_blue,,100,False,False,True,"('2016-07-05', 'SVT2')",Bioindicator,EasyGel,187,27,2016-07-05,2016
153,2016-07-12,SVT,36.0,2,SVT2,big_blue,,100,False,False,True,"('2016-07-12', 'SVT2')",Bioindicator,EasyGel,194,28,2016-07-12,2016
154,2016-07-19,SVT,15.0,2,SVT2,big_blue,,100,False,True,False,"('2016-07-19', 'SVT2')",Bioindicator,EasyGel,201,29,2016-07-19,2016
155,2016-06-21,SVT,0.0,2,SVT2,big_blue,,100,True,False,False,"('2016-06-21', 'SVT2')",Bioindicator,EasyGel,173,25,2016-06-21,2016
156,2016-06-28,SVT,0.0,2,SVT2,big_blue,,100,True,False,False,"('2016-06-28', 'SVT2')",Bioindicator,EasyGel,180,26,2016-06-28,2016
157,2016-07-26,SVT,0.0,2,SVT2,big_blue,,100,False,True,False,"('2016-07-26', 'SVT2')",Bioindicator,EasyGel,208,30,2016-07-26,2016
158,2016-08-02,SVT,0.0,2,SVT2,big_blue,,100,False,True,False,"('2016-08-02', 'SVT2')",Bioindicator,EasyGel,215,31,2016-08-02,2016
159,2016-08-09,SVT,2.0,2,SVT2,big_blue,,100,False,True,False,"('2016-08-09', 'SVT2')",Bioindicator,EasyGel,222,32,2016-08-09,2016
160,2016-07-05,VNX,0.0,2,VNX2,big_blue,,100,False,False,True,"('2016-07-05', 'VNX2')",Bioindicator,EasyGel,187,27,2016-07-05,2016
161,2016-07-12,VNX,2.0,2,VNX2,big_blue,,100,False,False,True,"('2016-07-12', 'VNX2')",Bioindicator,EasyGel,194,28,2016-07-12,2016
162,2016-07-19,VNX,11.0,2,VNX2,big_blue,,100,False,True,False,"('2016-07-19', 'VNX2')",Bioindicator,EasyGel,201,29,2016-07-19,2016
163,2016-06-21,VNX,0.0,2,VNX2,big_blue,,100,True,False,False,"('2016-06-21', 'VNX2')",Bioindicator,EasyGel,173,25,2016-06-21,2016
164,2016-06-28,VNX,0.0,2,VNX2,big_blue,,100,True,False,False,"('2016-06-28', 'VNX2')",Bioindicator,EasyGel,180,26,2016-06-28,2016
165,2016-07-26,VNX,0.0,2,VNX2,big_blue,,100,False,True,False,"('2016-07-26', 'VNX2')",Bioindicator,EasyGel,208,30,2016-07-26,2016
166,2016-08-09,VNX,13.0,2,VNX2,big_blue,,100,False,True,False,"('2016-08-09', 'VNX2')",Bioindicator,EasyGel,222,32,2016-08-09,2016
167,2016-08-02,VNX,2.0,2,VNX2,big_blue,,100,False,True,False,"('2016-08-02', 'VNX2')",Bioindicator,EasyGel,215,31,2016-08-02,2016
168,2016-07-05,MRD,1.0,2,MRD2,med_blue,,100,False,False,True,"('2016-07-05', 'MRD2')",Coliform,EasyGel,187,27,2016-07-05,2016
169,2016-07-12,MRD,3.0,2,MRD2,med_blue,,100,False,False,True,"('2016-07-12', 'MRD2')",Coliform,EasyGel,194,28,2016-07-12,2016
170,2016-07-19,MRD,7.0,2,MRD2,med_blue,,100,False,True,False,"('2016-07-19', 'MRD2')",Coliform,EasyGel,201,29,2016-07-19,2016
171,2016-06-21,MRD,2.0,2,MRD2,med_blue,,100,True,False,False,"('2016-06-21', 'MRD2')",Coliform,EasyGel,173,25,2016-06-21,2016
172,2016-06-28,MRD,0.0,2,MRD2,med_blue,,100,True,False,False,"('2016-06-28', 'MRD2')",Coliform,EasyGel,180,26,2016-06-28,2016
173,2016-07-26,MRD,0.0,2,MRD2,med_blue,,100,False,True,False,"('2016-07-26', 'MRD2')",Coliform,EasyGel,208,30,2016-07-26,2016
